,temperature,sentiment_mood,suggested_cash_pct
2026-07-15,50.6,中性均衡,25.0
2026-07-16,42.0,中性均衡,25.0
2026-07-17,37.2,中性均衡,25.0
2026-07-20,52.7,中性均衡,25.0
2026-07-21,56.8,中性均衡,25.0
2026-07-22,47.1,中性均衡,25.0
2026-07-23,59.2,中性均衡,25.0
2026-07-24,60.0,中性均衡,25.0
2026-07-27,56.7,中性均衡,25.0
2026-07-28,56.0,中性均衡,25.0
2026-07-29,41.8,中性均衡,25.0
2026-07-30,47.7,中性均衡,25.0
2026-07-31,46.2,中性均衡,25.0
2026-08-03,39.5,中性均衡,25.0
2026-08-04,33.5,恐慌防御,50.0
2026-08-05,36.3,中性均衡,25.0
2026-08-06,35.8,中性均衡,25.0
2026-08-07,31.7,恐慌防御,50.0
2026-08-10,46.0,中性均衡,25.0
2026-08-11,49.6,中性均衡,25.0
2026-08-12,50.7,中性均衡,25.0
2026-08-13,38.5,中性均衡,25.0
2026-08-14,43.8,中性均衡,25.0
2026-08-17,41.8,中性均衡,25.0
2026-08-18,49.9,中性均衡,25.0
2026-08-19,52.2,中性均衡,25.0
2026-08-20,49.9,中性均衡,25.0
2026-08-21,46.7,中性均衡,25.0
2026-08-24,47.4,中性均衡,25.0
2026-08-25,52.7,中性均衡,25.0
2026-08-26,44.8,中性均衡,25.0
2026-08-27,46.9,中性均衡,25.0
2026-08-28,44.0,中性均衡,25.0
